__source_id,__source_name,skill_name,skill_category,company_name,company_size,industry,city,country,country_iso,latitude,longitude,population,role_name,job_level,employment_type,skill_level_required,posted_date,min_salary,max_salary,currency,required_exp_years,education_level,job_description,remote_option
040,DATA.csv,"LLMs, Evaluation, Python",__NA__,__NA__,Large,Healthcare,Gurugram,India,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2022,2050450,2050450,INR,9,Bachelors,__NA__,Onsite
041,DATA.csv,"MLflow, Docker, Kubernetes",__NA__,__NA__,Large,Education,Munich,Germany,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2020,105600,105600,EUR,9,Diploma,__NA__,Hybrid
042,DATA.csv,"Pandas, Scikit-learn, SQL",__NA__,__NA__,Startup,Finance,New York,United States,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2021,220000,220000,USD,9,Bachelors,__NA__,Hybrid
043,DATA.csv,"Statistics, NumPy, Scikit-learn",__NA__,__NA__,Medium,Finance,Marseille,France,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,88000,88000,EUR,1,Bachelors,__NA__,Hybrid
044,DATA.csv,"Docker, PyTorch, Kubernetes",__NA__,__NA__,Large,Consulting,Dubai,UAE,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2022,440000,440000,AED,7,Diploma,__NA__,Remote
045,DATA.csv,"PyTorch, Vector Databases, Transformers",__NA__,__NA__,Medium,Finance,Austin,United States,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2024,288750,288750,USD,7,Diploma,__NA__,Remote
046,DATA.csv,"Kubernetes, MLflow, Docker",__NA__,__NA__,Medium,E-commerce,Vancouver,Canada,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2020,124300,124300,CAD,10,Bachelors,__NA__,Hybrid
047,DATA.csv,"Python, SQL, Pandas",__NA__,__NA__,Medium,Healthcare,Vancouver,Canada,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2020,139000,139000,CAD,11,PhD,__NA__,Onsite
048,DATA.csv,"Python, A/B Testing, LLMs",__NA__,__NA__,Medium,Healthcare,Boston,United States,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2023,151800,151800,USD,2,Bachelors,__NA__,Onsite
049,DATA.csv,"PyTorch, MLflow, Python",__NA__,__NA__,Medium,Finance,Noida,India,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2025,3039300,3039300,INR,14,PhD,__NA__,Remote
050,DATA.csv,"TensorFlow, Kubernetes, Docker",__NA__,__NA__,Startup,Technology,Ottawa,Canada,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2022,193600,193600,CAD,12,Bachelors,__NA__,Onsite
051,DATA.csv,"Transformers, LangChain, RAG",__NA__,__NA__,Startup,Consulting,Marseille,France,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2025,146250,146250,EUR,9,Masters,__NA__,Remote
052,DATA.csv,"Python, Pandas, Scikit-learn",__NA__,__NA__,Large,E-commerce,Montreal,Canada,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2024,176000,176000,CAD,14,Diploma,__NA__,Remote
053,DATA.csv,"TensorFlow, PyTorch, MLflow",__NA__,__NA__,Medium,Technology,San Francisco,United States,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,227700,227700,USD,4,Bachelors,__NA__,Remote
054,DATA.csv,"Python, Scikit-learn, Pandas",__NA__,__NA__,Startup,Finance,Sydney,Australia,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2021,78000,78000,AUD,0,Diploma,__NA__,Onsite
055,DATA.csv,"Kubernetes, Python, TensorFlow",__NA__,__NA__,Startup,Healthcare,Ottawa,Canada,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,136400,136400,CAD,7,Diploma,__NA__,Hybrid
056,DATA.csv,"Reinforcement Learning, Transformers, Distributed Training",__NA__,__NA__,Large,Consulting,Vancouver,Canada,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2021,254800,254800,CAD,11,Diploma,__NA__,Remote
057,DATA.csv,"Statistics, Python, Scikit-learn",__NA__,__NA__,Medium,Education,Ottawa,Canada,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2020,178000,178000,CAD,15,PhD,__NA__,Hybrid
058,DATA.csv,"Kubernetes, Python, TensorFlow",__NA__,__NA__,Medium,Technology,Abu Dhabi,UAE,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2025,374000,374000,AED,11,Masters,__NA__,Remote
059,DATA.csv,"SQL, Pandas, Scikit-learn",__NA__,__NA__,Startup,Healthcare,Toronto,Canada,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2020,164000,164000,CAD,8,Diploma,__NA__,Hybrid
060,DATA.csv,"TensorFlow, PyTorch, Kubernetes",__NA__,__NA__,Startup,Finance,Gurugram,India,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,1362900,1362900,INR,4,Diploma,__NA__,Hybrid
061,DATA.csv,"PyTorch, MLflow, Python",__NA__,__NA__,Large,Technology,Austin,United States,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2023,305800,305800,USD,12,Bachelors,__NA__,Remote
062,DATA.csv,"SQL, Pandas, Statistics",__NA__,__NA__,Startup,Education,San Francisco,United States,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2025,209000,209000,USD,13,Masters,__NA__,Remote
063,DATA.csv,"A/B Testing, Evaluation, LLMs",__NA__,__NA__,Large,Healthcare,Austin,United States,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2020,251850,251850,USD,9,PhD,__NA__,Hybrid
064,DATA.csv,"PyTorch, Reinforcement Learning, Distributed Training",__NA__,__NA__,Startup,Education,New York,United States,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2020,214500,214500,USD,11,Bachelors,__NA__,Hybrid
065,DATA.csv,"Docker, Kubernetes, MLflow",__NA__,__NA__,Medium,Healthcare,Toronto,Canada,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,110000,110000,CAD,7,Diploma,__NA__,Remote
066,DATA.csv,"Vector Databases, LangChain, RAG",__NA__,__NA__,Large,Consulting,Frankfurt,Germany,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2020,170000,170000,EUR,8,Bachelors,__NA__,Onsite
067,DATA.csv,"Python, MLflow, TensorFlow",__NA__,__NA__,Startup,Education,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,137500,137500,SGD,9,Masters,__NA__,Remote
068,DATA.csv,"Prompt Engineering, LLMs, Evaluation",__NA__,__NA__,Large,Finance,Rotterdam,Netherlands,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2023,126500,126500,EUR,7,Masters,__NA__,Onsite
069,DATA.csv,"PyTorch, Vector Databases, RAG",__NA__,__NA__,Large,Finance,Melbourne,Australia,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2023,231250,231250,AUD,11,Bachelors,__NA__,Remote
070,DATA.csv,"MLflow, Kubernetes, TensorFlow",__NA__,__NA__,Large,Consulting,Sharjah,UAE,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,415800,415800,AED,8,Masters,__NA__,Onsite
071,DATA.csv,"Statistics, SQL, Scikit-learn",__NA__,__NA__,Large,Finance,Eindhoven,Netherlands,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2022,112000,112000,EUR,10,Diploma,__NA__,Remote
072,DATA.csv,"A/B Testing, Python, Prompt Engineering",__NA__,__NA__,Large,Education,Manchester,United Kingdom,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2021,118450,118450,GBP,14,Diploma,__NA__,Remote
073,DATA.csv,"Transformers, Vector Databases, Python",__NA__,__NA__,Startup,Consulting,Brisbane,Australia,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2021,222500,222500,AUD,10,PhD,__NA__,Onsite
074,DATA.csv,"Transformers, Distributed Training, PyTorch",__NA__,__NA__,Startup,Healthcare,Noida,India,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2023,2122900,2122900,INR,2,Masters,__NA__,Onsite
075,DATA.csv,"PyTorch, Docker, Python",__NA__,__NA__,Startup,Healthcare,Sydney,Australia,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2023,222200,222200,AUD,12,Bachelors,__NA__,Remote
076,DATA.csv,"Vector Databases, Transformers, LangChain",__NA__,__NA__,Large,Consulting,Cambridge,United Kingdom,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2020,112500,112500,GBP,5,Masters,__NA__,Remote
077,DATA.csv,"Docker, Python, TensorFlow",__NA__,__NA__,Startup,Consulting,Dubai,UAE,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,478500,478500,AED,9,PhD,__NA__,Remote
078,DATA.csv,"Python, NumPy, Pandas",__NA__,__NA__,Startup,E-commerce,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,159000,159000,SGD,12,Masters,__NA__,Remote
079,DATA.csv,"Scikit-learn, Statistics, Python",__NA__,__NA__,Startup,Consulting,Sydney,Australia,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2022,159000,159000,AUD,8,Bachelors,__NA__,Onsite
080,DATA.csv,"Distributed Training, Transformers, Deep Learning",__NA__,__NA__,Large,Consulting,Boston,United States,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2020,270400,270400,USD,5,Bachelors,__NA__,Onsite
081,DATA.csv,"Pandas, Scikit-learn, NumPy",__NA__,__NA__,Startup,Technology,Frankfurt,Germany,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2025,116000,116000,EUR,4,Bachelors,__NA__,Remote
082,DATA.csv,"SQL, Pandas, Python",__NA__,__NA__,Startup,Education,Munich,Germany,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2021,111000,111000,EUR,5,Bachelors,__NA__,Hybrid
083,DATA.csv,"PyTorch, Transformers, Deep Learning",__NA__,__NA__,Medium,Healthcare,Edinburgh,United Kingdom,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2020,149500,149500,GBP,11,Diploma,__NA__,Onsite
084,DATA.csv,"Scikit-learn, NumPy, Pandas",__NA__,__NA__,Medium,Technology,Eindhoven,Netherlands,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2024,140000,140000,EUR,15,Bachelors,__NA__,Remote
085,DATA.csv,"Kubernetes, TensorFlow, Docker",__NA__,__NA__,Startup,Healthcare,Sydney,Australia,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,223300,223300,AUD,11,Diploma,__NA__,Hybrid
086,DATA.csv,"Docker, Python, PyTorch",__NA__,__NA__,Large,Consulting,Brisbane,Australia,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2025,129800,129800,AUD,7,Diploma,__NA__,Onsite
087,DATA.csv,"Reinforcement Learning, Transformers, PyTorch",__NA__,__NA__,Medium,Education,Rotterdam,Netherlands,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2024,111800,111800,EUR,2,Diploma,__NA__,Hybrid
088,DATA.csv,"Pandas, Python, Scikit-learn",__NA__,__NA__,Startup,Finance,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,109000,109000,SGD,7,PhD,__NA__,Onsite
089,DATA.csv,"NumPy, Scikit-learn, Statistics",__NA__,__NA__,Startup,Finance,Munich,Germany,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2020,124000,124000,EUR,8,Diploma,__NA__,Remote
090,DATA.csv,"MLflow, PyTorch, Python",__NA__,__NA__,Large,Technology,Melbourne,Australia,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2020,117700,117700,AUD,1,Masters,__NA__,Onsite
091,DATA.csv,"LangChain, Python, Transformers",__NA__,__NA__,Medium,E-commerce,Noida,India,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2023,1548750,1548750,INR,5,Diploma,__NA__,Onsite
092,DATA.csv,"NumPy, Python, Statistics",__NA__,__NA__,Medium,Healthcare,Brisbane,Australia,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,172000,172000,AUD,7,Diploma,__NA__,Hybrid
093,DATA.csv,"Scikit-learn, Statistics, Python",__NA__,__NA__,Large,E-commerce,Noida,India,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2022,1166000,1166000,INR,4,Diploma,__NA__,Hybrid
094,DATA.csv,"Deep Learning, Reinforcement Learning, PyTorch",__NA__,__NA__,Startup,Healthcare,Toronto,Canada,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2025,247000,247000,CAD,10,Bachelors,__NA__,Hybrid
095,DATA.csv,"Python, Evaluation, A/B Testing",__NA__,__NA__,Medium,Consulting,London,United Kingdom,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2025,90850,90850,GBP,4,PhD,__NA__,Onsite
096,DATA.csv,"PyTorch, MLflow, Docker",__NA__,__NA__,Startup,Healthcare,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2021,110000,110000,SGD,1,Bachelors,__NA__,Hybrid
097,DATA.csv,"Reinforcement Learning, PyTorch, Deep Learning",__NA__,__NA__,Large,Finance,Hyderabad,India,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2022,2230800,2230800,INR,2,Masters,__NA__,Onsite
098,DATA.csv,"LangChain, Transformers, Vector Databases",__NA__,__NA__,Startup,Consulting,Brisbane,Australia,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2022,155000,155000,AUD,5,Bachelors,__NA__,Hybrid
099,DATA.csv,"Python, RAG, Vector Databases",__NA__,__NA__,Medium,Finance,Sydney,Australia,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2020,113750,113750,AUD,1,Bachelors,__NA__,Remote
100,DATA.csv,"Distributed Training, Reinforcement Learning, PyTorch",__NA__,__NA__,Large,Consulting,Brisbane,Australia,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2020,123500,123500,AUD,2,Bachelors,__NA__,Hybrid
101,DATA.csv,"NumPy, Pandas, Statistics",__NA__,__NA__,Medium,E-commerce,Frankfurt,Germany,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,136000,136000,EUR,13,Diploma,__NA__,Remote
102,DATA.csv,"PyTorch, Vector Databases, RAG",__NA__,__NA__,Medium,Education,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2025,191250,191250,SGD,10,Masters,__NA__,Remote
103,DATA.csv,"Python, Vector Databases, LangChain",__NA__,__NA__,Medium,Education,Toronto,Canada,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2024,220000,220000,CAD,12,Bachelors,__NA__,Hybrid
104,DATA.csv,"Reinforcement Learning, PyTorch, Distributed Training",__NA__,__NA__,Medium,Healthcare,Amsterdam,Netherlands,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2023,139100,139100,EUR,15,Diploma,__NA__,Remote
105,DATA.csv,"LangChain, PyTorch, Vector Databases",__NA__,__NA__,Startup,Finance,New York,United States,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2020,366250,366250,USD,14,PhD,__NA__,Onsite
106,DATA.csv,"NumPy, Scikit-learn, SQL",__NA__,__NA__,Large,E-commerce,Vancouver,Canada,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2020,181000,181000,CAD,10,Masters,__NA__,Hybrid
107,DATA.csv,"PyTorch, Reinforcement Learning, Transformers",__NA__,__NA__,Large,Technology,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2021,192400,192400,SGD,7,Masters,__NA__,Remote
